group,feature,method,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C3_C4,depth_proxy,posture_train_zscore,SA,C3,C4,508,519,0.071897,-0.100350,0.894814,0.798424,0.203125,0.919104
C3_C4,depth_proxy,posture_train_zscore,CA,C3,C4,515,502,0.300337,0.156973,0.676604,0.772715,0.197403,0.921375
C3_C4,depth_proxy,posture_train_zscore,HW,C3,C4,506,519,0.396673,0.207144,1.019220,0.925617,0.194680,0.922456
C3_C4,depth_proxy,posture_train_robust,all,C3,C4,1529,1540,0.267419,0.076822,0.987285,0.949675,0.196763,0.921629
C3_C4,depth_proxy,posture_train_robust,SA,C3,C4,508,519,0.038196,-0.167354,1.067815,0.952790,0.203125,0.919104
C3_C4,depth_proxy,posture_train_robust,CA,C3,C4,515,502,0.379694,0.214010,0.781948,0.893022,0.197403,0.921375
C3_C4,depth_proxy,posture_train_robust,HW,C3,C4,506,519,0.383275,0.188303,1.048488,0.952197,0.194680,0.922456
C3_C4,depth_proxy,participant_zscore_upper_bound,all,C3,C4,1529,1540,0.098877,0.007039,0.936529,0.968889,0.096383,0.961564
C3_C4,depth_proxy,participant_zscore_upper_bound,SA,C3,C4,508,519,0.733539,0.668647,0.239254,0.200572,0.293947,0.883153
C3_C4,depth_proxy,participant_zscore_upper_bound,CA,C3,C4,515,502,0.722880,0.671607,0.183109,0.232477,0.245030,0.902491
C3_C4,depth_proxy,participant_zscore_upper_bound,HW,C3,C4,506,519,-1.173396,-1.297368,0.373310,0.355806,0.339964,0.865024
C3_C4,bottom_recovery_slope_acc_z,raw,all,C3,C4,1529,1540,0.094751,0.105304,0.103330,0.107638,-0.100019,0.960115
C3_C4,bottom_recovery_slope_acc_z,raw,SA,C3,C4,508,519,0.117480,0.132219,0.120452,0.117471,-0.123889,0.950607
C3_C4,bottom_recovery_slope_acc_z,raw,CA,C3,C4,515,502,0.110346,0.127215,0.103891,0.113459,-0.155075,0.938196
C3_C4,bottom_recovery_slope_acc_z,raw,HW,C3,C4,506,519,0.056061,0.057196,0.066699,0.068002,-0.016842,0.993281
C3_C4,bottom_recovery_slope_acc_z,posture_train_zscore,all,C3,C4,1529,1540,-0.115692,-0.034313,0.840684,0.858866,-0.095760,0.961812
C3_C4,bottom_recovery_slope_acc_z,posture_train_zscore,SA,C3,C4,508,519,-0.181670,-0.075475,0.867849,0.846373,-0.123889,0.950607
C3_C4,bottom_recovery_slope_acc_z,posture_train_zscore,CA,C3,C4,515,502,-0.157788,-0.036019,0.749938,0.818999,-0.155075,0.938196
C3_C4,bottom_recovery_slope_acc_z,posture_train_zscore,HW,C3,C4,506,519,-0.006609,0.008498,0.888250,0.905608,-0.016842,0.993281
C3_C4,bottom_recovery_slope_acc_z,posture_train_robust,all,C3,C4,1529,1540,-0.006780,0.090511,1.001545,1.020938,-0.096205,0.961634
C3_C4,bottom_recovery_slope_acc_z,posture_train_robust,SA,C3,C4,508,519,-0.139299,-0.022597,0.953718,0.930117,-0.123889,0.950607
C3_C4,bottom_recovery_slope_acc_z,posture_train_robust,CA,C3,C4,515,502,-0.139482,0.012226,0.934320,1.020361,-0.155075,0.938196
